symbol,companyName,sector,marketCap,revenueGrowthYoY,earningsGrowthYoY,profitMargin,roe,debtToEquityRatio,qualityScore,finalScore
"DLTR","Dollar Tree, Inc.","Consumer Defensive","21182644000","4.75","-203.5","-17.24","-76.18","1.97","","80"
"ACN","Accenture plc","Technology","189447988120","1.22","5.72","11.19","25.68","0.15","","84"
"MPC","Marathon Petroleum Corporation","Energy","52211019300","-7.02","-64.41","2.48","19.41","1.62","","84"
"MOS","The Mosaic Company","Basic Materials","11667756180","-18.79","-84.99","1.57","1.52","0.39","","84"
"FCX","Freeport-McMoRan Inc.","Basic Materials","63264610000","11.38","2.55","7.42","10.74","0.55","","82"
"FFIV","F5, Inc.","Technology","16998030652","0.1","43.51","20.13","18.11","0.08","","84"
"BLK","BlackRock, Inc.","Financial Services","163333834020","14.27","15.76","31.21","13.41","0.3","","84"
"CMG","Chipotle Mexican Grill, Inc.","Consumer Cyclical","78470246400","14.61","24.85","13.56","41.97","1.24","","84"
"EW","Edwards Lifesciences Corporation","Healthcare","45273788000","-9.41","197.68","76.75","41.75","0.07","","80"
"TT","Trane Technologies plc","Industrials","96827725060","12.22","26.88","12.94","34.43","0.64","","84"
"NFLX","Netflix, Inc.","Communication Services","550518645600","15.65","61.09","22.34","35.21","0.73","","84"
"CB","Chubb Limited","Financial Services","116046242340","12","2.7","16.51","14.48","0.24","","84"
"BRK-B","Berkshire Hathaway Inc.","Financial Services","1057476655716","-3.44","-7.51","20.98","13.7","0.2","","84"
"KMX","CarMax, Inc.","Consumer Cyclical","10706103800","-0.69","4.46","1.9","8.02","3.08","","82"
"V","Visa Inc.","Financial Services","689312938598","10.02","14.3","54.95","50.45","0.53","","84"
"NRG","NRG Energy, Inc.","Utilities","30491739600","-2.4","656.93","4","45.4","4.44","","77"
"ROP","Roper Technologies, Inc.","Industrials","61574915650","13.94","11.93","22.01","8.21","0.41","","84"
"JCI","Johnson Controls International plc","Industrials","68877779490","-14.34","-7.79","7.43","10.59","0.59","","84"
"ROST","Ross Stores, Inc.","Consumer Cyclical","42509417870","3.69","11.53","9.89","37.95","1.03","","84"
"BKNG","Booking Holdings Inc.","Consumer Cyclical","186479673419","11.11","37.14","24.78","-146.32","-4.25","","80"
"OKE","ONEOK, Inc.","Energy","50589026670","22.75","14.14","13.99","17.82","1.88","","84"
"PWR","Quanta Services, Inc.","Industrials","55173005710","13.36","21.5","3.82","12.36","0.61","","84"
"WDC","Western Digital Corporation","Technology","22272371520","5.56","53.22","-6.14","-7.38","0.69","","84"
"ORLY","O'Reilly Automotive, Inc.","Consumer Cyclical","77363201000","5.67","1.71","14.28","-174.09","-5.78","","80"
"IRM","Iron Mountain Incorporated","Real Estate","29483746920","12.22","-2.21","2.93","-35.81","-32.54","","82"
"WELL","Welltower Inc.","Real Estate","99139123200","18.42","179.83","12.12","2.98","0.52","","84"
"RSG","Republic Services, Inc.","Industrials","76458640990","7.13","18.02","12.74","17.91","1.14","","84"
"VTR","Ventas, Inc.","Real Estate","28378009120","9.48","298.06","1.65","0.75","1.28","","82"
"ES","Eversource Energy","Utilities","23714701750","-0.08","283.53","6.82","5.4","1.94","","82"
"HRL","Hormel Foods Corporation","Consumer Defensive","16881776500","-1.56","1.44","6.75","10.07","0.36","","84"
"WYNN","Wynn Resorts, Limited","Consumer Cyclical","10660325840","9.13","-31.36","7.03","-223.53","-54.27","","80"
"SJM","The J. M. Smucker Company","Consumer Defensive","10964998600","6.69","-265.43","-14.1","-20.23","1.26","","82"
"WEC","WEC Energy Group, Inc.","Utilities","33429286500","-3.3","14.67","17.77","12.3","1.61","","84"
"NDAQ","Nasdaq, Inc.","Financial Services","51062410680","22.03","5.48","15.09","9.98","0.88","","84"
"CRM","Salesforce, Inc.","Technology","259945960000","8.72","49.83","16.35","10.13","0.19","","84"
"APH","Amphenol Corporation","Technology","117802944000","21.25","25.73","15.92","24.75","0.7","","84"
"CF","CF Industries Holdings, Inc.","Basic Materials","14984304900","-10.48","-20.13","20.52","24.43","0.65","","84"
"DVA","DaVita Inc.","Healthcare","11076605000","5.56","35.4","7.31","773.06","99.63","","74"
"FAST","Fastenal Company","Industrials","49170706400","2.71","-0.38","15.25","31.82","0.13","","84"
"IVZ","Invesco Ltd.","Financial Services","7236980520","6.13","899.59","12.77","5.32","0.52","","79"
"LHX","L3Harris Technologies, Inc.","Industrials","47144042280","9.82","22.41","7.04","7.7","0.63","","84"
"ISRG","Intuitive Surgical, Inc.","Healthcare","192825299820","17.24","29.18","27.81","14.13","0.01","","84"
"CTRA","Coterra Energy Inc.","Energy","19150218490","-3.98","-31.02","20.54","8.54","0.29","","84"
"ICE","Intercontinental Exchange, Inc.","Financial Services","104319624360","18.76","16.3","23.42","9.94","0.75","","84"
"PM","Philip Morris International Inc.","Consumer Defensive","276328995600","7.69","-9.72","18.57","-59.86","-3.89","","80"
"EXPE","Expedia Group, Inc.","Consumer Cyclical","21162741880","6.64","54.83","9.01","79.25","4.19","","84"
"EXPD","Expeditors International of Washington, Inc.","Industrials","16157125040","13.98","7.6","7.64","36.44","0.26","","84"
"DOC","Healthpeak Properties, Inc.","Real Estate","12421808160","23.82","-20.54","9","2.89","1.07","","84"
"J","Jacobs Engineering Group Inc.","Industrials","15915612300","5.99","21.08","7.01","17.72","0.6","","84"
